In Java's regular expressions, '\d' looks for __	digits	
<div><span style=" font-style: normal; font-weight: normal;">What will this function do?<div>&nbsp;&nbsp;<code><div align="left"><div>public static void foo() {</div><div>&nbsp;&nbsp;Set set = new TreeSet();</div><div>&nbsp;&nbsp;set.add("b");</div><div>&nbsp;&nbsp;set.add("d");</div><div>&nbsp;&nbsp;set.add('c');</div><div>&nbsp;&nbsp;Iterator it = set.iterator();</div><div>&nbsp;&nbsp;while(it.hasNext())</div><div>&nbsp;&nbsp; &nbsp;System.out.print(it.next() + " ");</div><div>}</div></div></code></div></span></div>	<span style=" font-style: normal; font-weight: normal;">This function will throw a ClassCastException at runtime.<br /><br />You cannot put Strings and chars into the same TreeSet, and the set will throw the exception when comparing the String and a char. Without generics, the compiler can not know this at compile time.</span>	
A TreeSet is different from a regular Set because...	a TreeSet is sorted	
Of all the Collections classes, a Map cares about...	unique identifiers	
Maps rely on the ___ method to determine whether two keys are the same or different.	equals()	
<span style=" font-style: normal; font-weight: normal;">Of all the Collections classes, a List cares about...</span>	the index	
Of all the Collections classes, a Set cares about...	uniqueness.	
A HashMap is a Map that is...	unsorted and unordered.	
In a Map, an object's ___ is used as it's key.	hashcode()	
A Hashtable is a Map that is...	unsorted and unordered, like a HashMap, but synchronized.	
Hashmap allows ___ null key(s) and ___ null values in a collection.	one,&nbsp;multiple	
Hashtable<span style=" font-style: normal; font-weight: normal;">&nbsp;allows ___ null key(s) and ___ null values in a collection.</span>	zero, zero	
A Hashtable lets you have null values.	false	
<span style=" font-style: normal; font-weight: normal;">A Hashtable does not let you have null values. T/F</span>	true	
A LinkedHashMap is a Map that...	maintains insertion order.	
A TreeMap is a Map that...	is a sorted map.	
How do you construct a TreeMap with a custom sort order? (2 ways)	define a custom Comparator class and supply it to a TreeMap constructor: new TreeMap(Comparator c)<br /><br /><div>or</div><div><br /></div><div>define the class of objects to be put in the TreeMap to implement the Comparable interface</div>	
What is the output of the following?<div><br /><div align="left"><code><div><div>import java.util.*;</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Map&lt;Foo, String&gt; m = new HashMap&lt;Foo, String&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f1 = new Foo("1");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f2 = new Foo("2");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f3 = new Foo("2");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f1, "aaa");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f2, "bbb");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f3, "bbb");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(m.size());</div><div>&nbsp;&nbsp;}</div><div>}</div><div>class Foo{</div><div>&nbsp;&nbsp;String f;</div><div>&nbsp;&nbsp;Foo(String f) { this.f = f; }</div><div>&nbsp;&nbsp;public boolean equals(Object o) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return ((Foo)o).f == this.f;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></code></div></div>	3	
What is the output of the following?<div><br /><br><div align="left"><code><div><div>import java.util.*;</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Map&lt;Foo, String&gt; m = new HashMap&lt;Foo, String&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f1 = new Foo("1");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f2 = new Foo("2");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f3 = new Foo("4");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f1, "aaa");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f2, "bbb");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f3, "ccc");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(m.size());</div><div>&nbsp;&nbsp;}</div><div>}</div><div>class Foo{</div><div>&nbsp;&nbsp;String f;</div><div>&nbsp;&nbsp;Foo(String f) { this.f = f; }</div><div>&nbsp;&nbsp;public boolean equals(Object o) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return ((Foo)o).f == this.f;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></code></div></div>	3	
What is the output of the follwing?<div><br /><div align="left"><code><div><div>import java.util.*;</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Map&lt;Foo, String&gt; m = new HashMap&lt;Foo, String&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f1 = new Foo("1");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f2 = new Foo("2");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f3 = new Foo("3");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f1, "aaa");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f1, "bbb");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f3, "ccc");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(m.size());</div><div>&nbsp;&nbsp;}</div><div>}</div><div>class Foo{</div><div>&nbsp;&nbsp;String f;</div><div>&nbsp;&nbsp;Foo(String f) { this.f = f; }</div><div>&nbsp;&nbsp;public boolean equals(Object o) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return ((Foo)o).f == this.f;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></code></div></div>	2	
What is the output of the following?<br /><br /><div align="left"><code><div>import java.util.*;</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Map&lt;Foo, String&gt; m = new HashMap&lt;Foo, String&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f1 = new Foo("1");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f2 = new Foo("1");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f3 = new Foo("3");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f1, "aaa");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f2, "bbb");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f3, "ccc");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(m.size());</div><div>&nbsp;&nbsp;}</div><div>}</div><div>class Foo{</div><div>&nbsp;&nbsp;String f;</div><div>&nbsp;&nbsp;Foo(String f) { this.f = f; }</div><div>&nbsp;&nbsp;public boolean equals(Object o) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return ((Foo)o).f == this.f;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>}</div></code></div>	3	
<span style=" font-style: normal; font-weight: normal;">What is the output of the following?<br /><br /><div align="left"><code><div><div>import java.util.*;</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;Map&lt;Foo, String&gt; m = new HashMap&lt;Foo, String&gt;();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;Foo f1 = new Foo("1");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f2 = new Foo("1");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f3 = new Foo("3");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f1, "aaa");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f2, "bbb");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f3, "ccc");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(m.size());</div><div>&nbsp;&nbsp;}</div><div>}</div><div>class Foo{</div><div>&nbsp;&nbsp;String f;</div><div>&nbsp;&nbsp;Foo(String f) { this.f = f; }</div><div>&nbsp;&nbsp;public boolean equals(Object o) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;return ((Foo)o).f == this.f;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>&nbsp;&nbsp;public int hashCode() { return 9; }</div><div>}</div></div></code></div></span>	2	
<span style=" font-style: normal; font-weight: normal;">What is the output of the following?<div><br /><div align="left"><code><div><div><div>import java.util.*;</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Map&lt;Foo, String&gt; m = new HashMap&lt;Foo, String&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f1 = new Foo("1");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f2 = new Foo("2");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>Foo f3 = new Foo("2");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f1, "aaa");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f2, "bbb");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>m.put(f3, "bbb");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(m.size());</div><div>&nbsp;&nbsp;}</div><div>}</div><div>class Foo{</div><div>&nbsp;&nbsp;String f;</div><div>&nbsp;&nbsp;Foo(String f) { this.f = f; }</div><div>&nbsp;&nbsp;public boolean equals(Object o) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return ((Foo)o).f == this.f;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>&nbsp;&nbsp;public int hashCode() { return 9; }</div><div>}</div></div></div></code></div></div></span>	2	
Does this compile?<div><br /></div><br><div align="left"><code><div><div>interface Hungry&lt;E&gt; { void munch(E x); }</div><div>interface Herbivore&lt;E extends Plant&gt; extends Hungry&lt;E&gt; {}</div><div>abstract class Plant {}</div><div>class Grass extends Plant {}</div><div>abstract class Animal {}</div><div>class Sheep extends Animal implements Herbivore&lt;Sheep&gt; {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public void munch(Sheep x) {}</div><div>}</div></div></code></div>	no. T<span style=" font-style: normal; font-weight: normal;">he type argument 'Sheep' is not within bounds of the type-variable E.</span><br /><br /><div><br />change the type argument in the Sheep class declaration from 'Sheep' to 'Grass' and the Sheep should 'munch' on 'Grass'.<br /><br />OR<div><br /></div><div>change the Herbivore interface type-variable from 'Plant' to 'Animal'.</div></div>	
<span style=" font-style: normal; font-weight: normal;">Does this compile?<div><br /></div><div align="left"><code><div><div><div>interface Hungry&lt;E&gt; { void munch(E x); }</div><div>interface Herbivore&lt;E extends Plant&gt; extends Hungry&lt;E&gt; {}</div><div>abstract class Plant {}</div><div>class Grass extends Plant {}</div><div>abstract class Animal {}</div><div>class Sheep extends Animal implements Herbivore&lt;Grass&gt; {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public void munch(Grass x) {}</div><div>}</div></div></div></code></div></span>	yes	
<span style=" font-style: normal; font-weight: normal;">Does this compile?<div><br /></div><div align="left"><code><div><div><div><div>interface Hungry&lt;E&gt; { void munch(E x); }</div><div>interface Herbivore&lt;E extends Animal&gt; extends Hungry&lt;E&gt; {}</div><div>abstract class Plant {}</div><div>class Grass extends Plant {}</div><div>abstract class Animal {}</div><div>class Sheep extends Animal implements Herbivore&lt;Sheep&gt; {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public void munch(Sheep x) {}</div><div>}</div></div></div></div></code></div></span>	yes	
A Vector is a List that...	is the same as an ArrayList but the methods are synchronized.	
A LinkedList is a List that...	has the elements doubly-linked to one another.<div><br /></div><div>LinkedList also has new methods for adding and removing from the beginning or end.</div>	
A HashSet is a Set that...	is unsorted and unordered.	
A Set uses an object's ___ method to determine whether two objects are identical.	equals()	
A LinkedHashSet is a Set that...	is a version of HashSet that maintains insertion-order and where all elements are doubly-linked to one another.	
A TreeSet is a Set that...	is sorted.	
Given a method,<div><br /></div><code>public static &lt;E extends Number&gt; List&lt;E&gt; process(List&lt;E&gt; nums)</code><div><br /></div><div>Will the code segment below compile?</div><div><br /></div><code><div>ArrayList&lt;Integer&gt; input = null;</div><div>List&lt;Integer&gt; output = null;</div><div>output = process(input);</div></code>	yes	
<span style=" font-style: normal; font-weight: normal;">Given a method,<div><br /></div><code>public static &lt;E extends Number&gt; List&lt;E&gt; process(List&lt;E&gt; nums)</code><div><br /></div><div>Will the code segment below compile?</div><div><br /></div><code><div>List&lt;Number&gt; input = null;</div><div>List&lt;<span style=" font-style: normal; font-weight: normal;">Number</span>&gt; output = null;</div><div>output = process(input);</div></code></span>	yes	
<span style=" font-style: normal; font-weight: normal;">Given a method,<div><br /></div><code>public static &lt;E extends Number&gt; List&lt;E&gt; process(List&lt;E&gt; nums)</code><div><br /></div><div>Will the code segment below compile?</div><div><br /></div><code><div>List&lt;Integer&gt; input = null;</div><div>List&lt;<span style=" font-style: normal; font-weight: normal;">Integer</span>&gt; output = null;</div><div>output = process(input);</div></code></span>	yes	
<span style=" font-style: normal; font-weight: normal;">Given a method,<div><br /></div><code>public static &lt;E extends Number&gt; List&lt;E&gt; process(List&lt;E&gt; nums)</code><div><br /></div><div>Will the code segment below compile?</div><div><br /></div><code><div>ArrayList&lt;Integer&gt; input = null;</div><div><span style=" font-style: normal; font-weight: normal;">ArrayList</span>&lt;<span style="font-style: normal; font-weight: normal; ">Integer</span>&gt; output = null;</div><div>output = process(input);</div></code></span>	no<div><br /></div><div>the return type of process is declared as a List.</div>	
<span style=" font-style: normal; font-weight: normal;">Given a method,<div><br /></div><code>public static &lt;E extends Number&gt; List&lt;E&gt; process(List&lt;E&gt; nums)</code><div><br /></div><div>Will the code segment below compile?</div><div><br /></div><div><code><div>ArrayList&lt;Integer&gt; input = null;</div><div>List&lt;<span style="font-style: normal; font-weight: normal; ">Number</span>&gt; output = null;</div><div>output = process(input);</div></code></div></span>	no<div><br /></div><div>the return type is List&lt;Integer&gt; which can't be assigned to a variable of type List&lt;Number&gt;.</div>	
<span style=" font-style: normal; font-weight: normal;">Given a method,<div><br /></div><code>public static &lt;E extends Number&gt; List&lt;E&gt; process(List&lt;E&gt; nums)</code><div><br /></div><div>Will the code segment below compile?</div><div><br /></div><code><div>List&lt;Number&gt; input = null;</div><div>ArrayList&lt;<span style="font-style: normal; font-weight: normal; ">Integer</span>&gt; output = null;</div><div>output = process(input);</div></code></span>	no<div><br /></div><div>The return type of process is declared as a List</div>	
What does the poll() method in the PriorityQueue class do?	it returns the highest priority entry in the queue AND removes that entry from the queue.	
<span style=" font-style: normal; font-weight: normal;">What does the peek() method in the PriorityQueue class do?</span>	returns the highest priority element in the queue without removing it	
What does the offer() method in the PriorityQueue class do?	add an element to the queue	
In the TreeSet class,<div><br /></div><div>what does the <code>ceiling(e)</code> method do?</div>	returns the lowest element greater or equal to e	
<span style=" font-style: normal; font-weight: normal;">In the TreeSet class,<div><br /></div><div>what does the&nbsp;<code>higher(e)</code>&nbsp;method do?</div></span>	returns the lowest element greater than e	
<div><span style=" font-style: normal; font-weight: normal;">In the TreeSet class,<div><br /></div><div>what does the&nbsp;<code>floor(e)</code>&nbsp;method do?</div></span></div>	returns the highest element less than or equal to e	
<div><span style=" font-style: normal; font-weight: normal;">In the TreeSet class,<div><br /></div><div>what does the&nbsp;<code>lower(e)</code>&nbsp;method do?</div></span></div>	returns the highest element less than e	
<span style=" font-style: normal; font-weight: normal;">In the TreeSet class,<div><br /></div><div>what does the&nbsp;<code>pollFirst()</code>&nbsp;method do?</div></span>	returns and removes the first entry	
<div><span style=" font-style: normal; font-weight: normal;">In the TreeSet class,<div><br /></div><div>what does the&nbsp;<code>pollLast()</code>&nbsp;method do?</div></span></div>	returns and removes the last entry	
<span style=" font-style: normal; font-weight: normal;">In the TreeSet class,<div><br /></div><div>what does the&nbsp;<code>descendingSet()</code>&nbsp;method do?</div></span>	returns a NavigableSet in reverse order	
<span style=" font-style: normal; font-weight: normal;">In the TreeMap class,<div><br /></div><div>what does the&nbsp;<code>ceilingKey(key)</code>&nbsp;method do?</div></span>	returns the lowest key greater than or equal to the given key	
<div><span style=" font-style: normal; font-weight: normal;">In the TreeMap class,<div><br /></div><div>what does the&nbsp;<code>higherKey(key)</code>&nbsp;method do?</div></span></div>	returns the lowest key greater than the given key	
<span style=" font-style: normal; font-weight: normal;">In the TreeMap class,<div><br /></div><div>what does the&nbsp;<code>floorKey(key)</code>&nbsp;method do?</div></span>	returns the highest key less than or equal to the given key	
<span style=" font-style: normal; font-weight: normal;">In the TreeMap class,<div><br /></div><div>what does the&nbsp;<code>lowerKey(key)</code>&nbsp;method do?</div></span>	returns the highest key less than the given key	
<span style=" font-style: normal; font-weight: normal;">In the TreeMap class,<div><br /></div><div>what does the&nbsp;<code>pollFirstEntry()</code>&nbsp;method do?</div></span>	returns and removes the first key-value pair	
<span style=" font-style: normal; font-weight: normal;">In the TreeMap class,<div><br /></div><div>what does the&nbsp;<code>pollLastEntry()</code>&nbsp;method do?</div></span>	returns and removes the last key-value pair	
<span style=" font-style: normal; font-weight: normal;">In the TreeMap class,<div><br /></div><div>what does the&nbsp;<code>descendingMap()</code>&nbsp;method do?</div></span>	returns a NavigableMap in reverse order	
Elements of a Set must in some way implement the Comparable interface. T/F	false	
<span style=" font-style: normal; font-weight: normal;">Elements of a TreeSet must in some way implement the Comparable interface. T/F</span>	true	
Elements of a LinkedHashSet must in some way implement the Comparable interface. T/F	false	
What is the output of the following?<div><br /></div><div align="left"><code><div><div>import java.util.*;</div><div>public class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public static void main(String[] args) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;Object o = new Object();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>TreeSet s = new TreeSet();</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;s.add("o");</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;s.add(o);</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;System.out.println(s.size());</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>}</div></div></code></div>	a ClassCastException is thrown.<br /><br />Objects added to a TreeSet must implement the Comparable interface.	
<div>What is the output of the following?</div><div><br /></div><br><div align="left"><code><div>import java.util.*;</div><div>class Foo {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>int x;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public Foo(int x) { this.x = x; }</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public boolean equals(Object o) {</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;System.out.println("Foo "+ x + " equals " + ((Foo)o).x);</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;return this.x == ((Foo)o).x;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public int hashCode() {&nbsp;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;System.out.println("Foo " + x + " hashCode");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return x;&nbsp;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div><div>class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>LinkedHashSet&lt;Foo&gt; l = new LinkedHashSet&lt;Foo&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(new Foo(1));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(new Foo(2));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(new Foo(1));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println("size is " + l.size());</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></code></div>	<div>Foo 1 hashCode</div><div>Foo 2 hashCode</div><div>Foo 1 hashCode</div><div>Foo 1 equals 1</div><div>size is 2</div>	
<span style=" font-style: normal; font-weight: normal;"><div>What is the output of the following?</div><div><br /></div><div align="left"><code><div><div>import java.util.*;</div><div>class Foo {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;int x;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public Foo(int x) { this.x = x; }</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public boolean equals(Object o) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println("Foo "+ x + " equals " + ((Foo)o).x);</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;return this.x == ((Foo)o).x;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public int hashCode() {&nbsp;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;System.out.println("Foo " + x + " hashCode");</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return x;&nbsp;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;LinkedHashSet&lt;Foo&gt; l = new LinkedHashSet&lt;Foo&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(new Foo(1));</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;l.add(new Foo(2));</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;l.add(new Foo(3));</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;&nbsp;System.out.println("size is " + l.size());</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;}</div><div>}</div></div></code></div></span>	<div>Foo 1 hashCode</div><div>Foo 2 hashCode</div><div>Foo 3 hashCode</div><div>size is 3</div>	
<span style=" font-style: normal; font-weight: normal;"><div>What is the output of the following?</div><div><br /></div><div align="left"><code><div><div><div>import java.util.*;</div><div>class Foo {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>int x;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public Foo(int x) { this.x = x; }</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public boolean equals(Object o) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println("Foo "+ x + " equals " + ((Foo)o).x);</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>return this.x == ((Foo)o).x;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div><div>class Example {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>LinkedHashSet&lt;Foo&gt; l = new LinkedHashSet&lt;Foo&gt;();</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(new Foo(1));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(new Foo(3));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>l.add(new Foo(3));</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println("size is " + l.size());</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></div></code></div></span>	<div>size is 3</div>	
